summary,description,timespent
map move financial aid button next transcript button,move financial aid button next transcript button group supplemental information together,1800.0
map change color cautioned course,change color cautioned course gray red keep italicization,1800.0
map course note indicator far right,please move course note indicator far right row course hour,1800.0
add description elective management menu,change descriptive text button edit item edit drag item,1800.0
wire academic program field api,transcript related wiring happend new dashboard tab main tool still need several additional field wired ticket academic program field,1800.0
remove year range constraint person,restriction person anticipatedstartyear person actualstartyear require value conflict value observed clc indian river restriction also sync year enums maintained client see remove min max constraint field discussed,1800.0
action plan description field pdf stretch vertically,originally reported pdf version student action plan cutting description assigned resource seemingly arbitrary point cell appears,2700.0
caseload assignment form fails save selectable special service group exist,originally reported unable reproduce problem intake form able reproduce least similar behavior caseload assignment first admin deleted special service group attempted edit existing student form save fails error chrome dev tool console suspect might similar problem reference data type form possibly marking lowest priority chance deployment running given reference data type completely zeroed probably low,1800.0
overly restrictive phone number validation rule,phone number validation rule student record uis require conventional format spc run afoul relatively chaotic phone number format data pulled peoplesoft need formi removed,1800.0
insufficient debug logging fmencprovider,looking debug log one clue parameter passed method least algorithm passed logged message level otherwise one need crystal ball find whats going,2700.0
property value placeholder,following duplicate check introduced saml2metamanager wsfederationmetamanager since however property value placeholder therefore placeholder message replaced,1800.0
user merge target role updated properly role updated,issue seen step used sample base testing created user dj follow added role mergewithtarget created managed user role checked user dj would ou attribute forgerock workday update role using put observed user dj would still ou attribute workday,2700.0
missing relaystate query parameter redirect fedlet application,may found regression related saml working anymore latest something broken march weve found sp initiated sso authentication request login successful redirects back fedlet saml fedletapplication saml response contains encrypted assertion error response redirect doesnt contains anymore relaystate parameter end final redirection default page expected one sp initiated sso ig redirects url variable took ig config real redirect real properly encoded uri place final goto login page get url navigator bar browser decomposed readability point relaystate anymore request id maybe keep value somehow final redirect fedletapplication successful authn contains samlresponse strange query parameter called,1800.0
unable generate jsdoc ui,source path changed referencing path generate jsdoc changed,2700.0
idserviceimpl log message level data warning level,quite debug message idservicesimpl warning level need reviewed appropriate level example,2700.0
openam exp invalid,call token introspect endpoint give following output exp value expressed remaining second token expires exp however according wrong cause gateway fail validate token see,1800.0
jsonresourcecommand hardcodes session cookie name,see jsonresourcecommand mean cookie name changed default value ssoadm command use jsonresourcecommand longer function correctly step reproduce change session cookie name custom value try execute command wireshark able tell whether session id passed openam using right header value,1800.0
jsonresourcecommand specify realm part uri path,current implementation jsonresourcecommand used new ssoadm command generates endpoint url incorrectly realm specified part path current bad example going work well dns alias configured domain one subrealms right format would step reproduce execute ssoadm command check openam access log see rest apis called correctly,1800.0
xui log button safari background unless mouse hover,install openam go default xui login page using safari log submit button background hover button correct styling applied,1800.0
utilproxysamlauthenticator incorrect debug logging,utilproxysamlauthenticator still us idpssofederate debug logging,1800.0
warning tomcat startup caused antijarlocking entry context xml,moving tomcat web container centos using tomcat noticed following startup warning tomcat tomcat warning setcontextpropertiesrule context setting property antijarlocking true find matching property grep web container show context xml file deployed war property antijarlocking true path openam problem antijarlocking property removed tomcat configuration therefore warning generated deployment openam war file within tomcat property need removed antiresourcelocking still present look whether enabling suitable,1800.0
edit download javascript file correct download behavior,correct javascript file used download engine correctly serve right agent nightly build,1380.0
web agent pattern matching fails url others,pattern matching web agent allow pattern path regular url structure pattern occur agent configuration current algorithm also fails case port syntax used pattern,2100.0
windowsdesktopsso trusted realm list doesnt work,new trusted realm list functionality openam windowsdesktopsso auth module broken first realm list work reason trusted realm checking logic windowsdesktopsso java line cause authentication fail encounter first realm list whenever istokentrusted return check realm list fail none match,1800.0
agentadmin show architecture,output missing architecture,1800.0
enforced ip processing broken,configure enforce ip processing match client ip incoming request although ip enforced agent enforces request access denied,2400.0
provide command line help idc tool,ideally help provided idc command line tool help option provided option provided valid,1800.0
stdc empty,describe symptom mysteriously const disappears declaration compilation code fails searching long time turn preprocessor macro stdc defined empty according defined result shiboken test case system header pulled get preprocess line like macro expansion look like evaluates false due syntax result compiler assumed const keywords defined away fix simple see attached file aside suspect code suppresses macro expansion following word defined always active preprocessor directive would another bug checked aside affect least released version bug tracker know version,1800.0
national thor private label page site map name change,right staging thor private label page listed thor freedom showroom need change thor freedom elite showroom,1800.0
bump binary version include,im finding package require latest version binary thus incompatible,2700.0
dequeuemail job doesnt read,dequeuemail job doesnt read use always port,1800.0
environment variable setup yade background service history viewer,current situation comment user report seems setup sh perfectly configuring jadehistoryviewer war environment dbname scheduler environment desired behavior check correct use environment variable start script,1800.0
setup create environment variable,start script jade sh create respective environment variable modification applies window start script,1800.0
parameter shall rename source file new folder,following parameter rename source folder exist look good log new folder created though parameter resp set see test copyandmovesource2newfolder,1800.0
setup provide sql script create sosftp table,current situation jobscheduler setup doesnt contain sql scripte create sosftp table release desired behavior jobscheduler setup provide sql scripte create sosftp table,1800.0
so scheduler managed jobschedulermanageddatabasejob read value parameter command script value,implemented plsql sqlplus job so scheduler managed jobschedulermanageddatabasejob also read value command script tag parameter command script defined value script taken example attachment work,1800.0
possible sync job configure sync context global jobchain,job com so jitl sync jobschedulersynchronizejobchainsjsadapterclass parameter specifies context actual sync default global mean sync node specific sync job must released continue order also possible specify name job chain let order continue sync node specific job chain released context also could specific node one job chain,1800.0
jade cmd always show usage clause,current situation jade startscript window always show usage clause desired situation jade startscript window show usage clause started without argument first argument help workaround edit jade start script bin jade cmd bin add line command goto banner line,1800.0
sourcefilename wrong filename window,use sourcefilename substitited filename transferred source file window get wrong name example emp jade txt sourcefilename emp jade,1800.0
global option timeformatmask mask general time format yade,resource location line example,1800.0
global option dateformatmask mask general date format yade,resource location line,1800.0
bug fix version external library,scala scalactic akka jersey,1800.0
missing english version reference documentation,see,1800.0
environment variable directory jdk jre respected window linux,jobscheduler use environment variable window find jvm desribed,1800.0
joc email list job detail view wrap horizontal scrollbar needed,multiple mail address configured item joc display comma separated list without wrapping see mail address scroll right,1800.0
sample order created description,everyone want store order sample directory managed job web interface get error xml document conform schema element description element expected expected one params payload order description description element must deleted storing,1800.0
error message host available,if a process class defines a scheduler on another host and this host is not reachable should use the process class for job the error message indicates that the host is not reachable currently process class host missing is not correct the process class is available and the host is not accessible at the process class it says error configuration file socket connected host found gethostbyname host there is not correct because it is an error in the network and not the configuration file should be output instead error socket connected host found gethostbyname host,1800.0
environment element job placed wrong position,using environment params job order incorrect,1800.0
api path,thus remains compatible existing application propose implement new property path job chain string return name job chain new string return path object relative live folder including starting example,1800.0
need process shown often,create two job using job need sleep long enough try starting task one job task appear several time one job,1800.0
showing job description work,clicking job description error message appears property,1800.0
installing automation install table,installing scheduler automation table installed used job,1800.0
add confirmation request removing order html interface,html interface show confirmation request user try remove order,1800.0
show order log running distributed order job scheduler cluster member,show log distributed order work chosen web interface job scheduler currently executing order need accessible job scheduler,1800.0
replacement paramname dont work jobschedulermanagedexecutablejob job run outside managed job environment,paramname replacement configured jobschedulermanagedexecutablejob xml configuration job scheduler try replace environment variable already startup configured parameter propably dont exist environment variable paramname replaced whitespace leaving nothig jobschedulermanagedexecutablejob replace paramname parameter work managedjobs read database runtime,1800.0
joc able display timestamps according timezone jobscheduler engine,currently joc display timestamps according local time joc frontend possible customizable display timestamps according timezone setting jobscheduler engine timezone displayed near jobscheduler start time,1800.0
remove job so scheduler managed jobschedulermanagedcustomreportjob release,job unsupported release removed release remove job documentation folder remove class repository,1800.0
so scheduler managed jobschedulermanageddatabasejob try read table parameter command order params,precondition job us so scheduler managed jobschedulermanageddatabasejob job defines parameter command job order job order provide parameter command result parameter command job configuration taken try get command database table table installed error occurs error catched ignored job logfiles database error message could appear avoided post error message reproduce add order job chain,1800.0
jobschedulerremotecommandjob requires parameter set,want create jobschedulerremotecommandjob parameter required set id attribute attribute required order id empty jobscheduler create id,1800.0
running linux box jid show event list event,install dashboard linux box set create event start dashboard navigate event list tab event shown log message sendcommand param get name jobschedulereventjob event fatal error content allowed prolog shown,1800.0
study downloading working zip filename contains special character space,study downloading working zip filename contains special character space issue occurs oviyam hosted window environment,1800.0
display study series time format hour,hour format followed study series time respectively rather time format study series must,1800.0
patient name encoded launching viewer direct url,patient name encoded correctly viewer page launched directly url working fine navigating query screen,1800.0
prevent duplicate description quick search filter,creating quick search filter duplicate label allowed,1800.0
exception alarm admin backend code ui element undefined,datafari admin ui search engine admin alarm admin get following exception error building json answer doget alert administration servlets make sure field filled correctly datafari property correct encoding error java lang illegalargumentexception invalid format malformed seems come bad config datafari property understand store alarm datafari property file done ui label show undefined sometimes understand fix problem affect master maven branch,1800.0
expired master page shall still visible user edit permission,cloned fixed platform obviously work content engage updated step log host create new page test set start time end time page need make expired register new user put translator role assign new page test allow translator edit add content create personalized page add rule user translator publish log host log page expired page shall visible editable wait till page expired visit page result page still editable display access view page within website expected user edit permission master page page shall always visible editable even expired,1800.0
evoqcontent si content staging module display object reference error,content staging module display object reference set instance object error step reproduce setup content staging connect site enter production portal credential content staging module expected result error actual result object reference set instance object error displayed however content staging still work,3480.0
extract site log separate module,card site log used log system activity since first introduced newer better logging option added platform site log apis associated database schema sprocs removed core platform included sitelog module conversation part extracting module upgrade logic added platform remove scheduled task stored procedure related feature sitelog module also removed appropriate extension table sitelog table remain untouched avoid potential data loss site log module moved registered forge confirmation site host setting referencing sitelog setting sitelog related setting deprecated portal host class completely removed case class exists support sitelog new installs upgrade alike module extension admin page available post also part extracted module live new github repository note introduce known breaking change anyone might call sitelog apis also remove feature might use website,1500.0
ross hind version filtering available issue creation administrative screen,please see plugins form detail,1800.0
pricing setting api incorrect value guest included,guest included request also validate guest included created fee meet criterion mapping document pricing setting api tab,1800.0
bug homeowner support priority high,name caitlin jordan team homeowner support url id severity high user impacted customer web browser chrome device window technology salesforce community external description owner reporting log community via desktop mobile app visiting owner evolvevacationrental com type email address password here vid trying tested app youre able type email password log oa already logged mobile app weve getting ton call past hour step reproduce navigate see user click email password note seems cs issue related another recent ticket please investigate fix soon possible story point low effort low complexity unknown,1800.0
booking com null first name,overview booking com require first name create reservation necessary piece salesforce side create traveler account receive null value would like default guest acceptance criterion booking com reservation api givenname null present payload set traveller firstname sf booking service target guest,1800.0
client ip address booking com reservation,placeholder booking com client ip address coming need investigate occurring,1800.0
availability rule api,array mapping issue mapped source json two minstay rule one mapped also may causing,1800.0
booking com referral source,overview need adjust referral source booking object reflects booking com inquiry set booking com currently display field acceptance criterion modify referral source booking display booking com inquiry referral source booking com criterion existing formula field remain,1800.0
bug traveler support booking adjustment updating transaction,name phillip reid team traveler support url id severity low user impacted employee customer total user impacted web browser device technology salesforce internal payment description hey team receiving report booking adjustment affect open charge transfer updating included three booking reported adjusted manual edits charge transfer made thus far wanted pas along wonderful folk review first hopefully spot trend im missing thank story point medium effort low complexity unknown,1800.0
convert new listing url,migrating lightning classic need confirm custom url work lightning recreate lightning acceptance criterion confirm recreate new listing url thats used account record layout listed account layout homeowner support account layout partner account feed layout,1800.0
verify internal user see field,log internal user ensure field show correct option,1800.0
add field allocation object,add status lead status update datetime field allocation object,1800.0
add field transaction object,add original amount field transaction object,1800.0
create sandbox outreach io package,install unmanaged package link provided dev sandbox create following user jackie buch profile evrn regional director lauren yurish profile evrn regional director load following test data lead homeowner application account contact opportunity listing lead contact opportunity,1800.0
spike guidance sale customized help menu,acceptance criterion install managed package sale update help menu link sale documentation hide meet setup home base admins keep help page hide get support hide give feedback salesforce resource idea link onboarding training wiki faq using salesforce working customer company dictionary glossary support guide trailhead trailmix sale mytrailhead quick find enter help select help section title label field enter evolve company help salesforce recommends naming section user understand resource custom help org company label appear youve entered translated add custom resource label field enter sale tip url field enter add resource item listed help menu order appear setup page save change turn customize help,1800.0
bug onboarding chatter,name amy werner team onboarding url id severity low user impacted internal evolve employee total user impacted web browser chrome device window technology salesforce internal description vras longer access chatter post onboarding case reply comment create new one used access still photo photo editing case,1800.0
bug reported rate note ob revenue management,name bill conway team revenue management url id description duplicate initial rate assessment case created result new photo edit case creation trigger case created via new photo edit trigger case created via build request submitted acceptance criterion remove criterion process builder case onboarding process creating rate assessment case listing stage move build request submitted completed previous version process builder case onboarding process value rate note field onboarding case mapped description field rate assessment case need way transfer rate note ob case rate assessment case new process open discussing option initial thought component similar could used onboarding case layout enter data rate note field listing referenced revenue management rate assessment case created via automated process account name field populated rate assessment case record type rate assessment case creation process triggered photo edit case process trigger photo edit case type onboarding reason initial rate assessment case created value exist field photo edit case,1800.0
test push stage sync git repo,test implementation push code stage environment push code git repository,1800.0
code change,add send email cancellation,1800.0
code change,implement logic previous task,1800.0
code analysis understanding,research create modal send email work order determine best approach,1800.0
access high adr multiprop field,various ticket recently put place validation rule prevents certain user editing field listing account want remove ensure everyone edit field listed sorry acceptance criterion make field editable profile high adr account multiprop account strategic account listing listing evrn traveler support evrn guest experience evrn homeowner support evrn operatoins evrn performance evrn product marketiing evrn resolution evrn revenue management evrn review evrn travel advisor,1800.0
bug sale priority high,old customer yet converted mpl community profile proceed past page property wizard screen shot believe profile evolve onboarding home owner mpl access field guest contact live implemented story name jackie buch team sale url id severity high user impacted employee customer total user impacted web browser chrome device window technology salesforce internal salesforce community external description released new styling change owner account property wizard guest ready page property wizard changed owner new user profile customer community evolve onboarding home owner mpl get past page every owner still user profile customer community login evolve onboarding home owner get thru page get stopped hitting save continue button highlight red allow click save continue mass upload owner still old user profile owner often call old owner whose contact profile created changed profile often context received bug report within last week easy fix end inconvenient owner proceed thank,1800.0
test modification max tax date,need able accommodate different tax rule different max day example jurisdiction charge stay day stay tax rate etc need accommodate actual tax booking rule record well make update quoting call acceptance criterion refund modification require change tax inquiry line item applied booking whats used process doesnt care however modification booking tax refund also tested process norm documentation story point medium effort medium complexity unknown,1800.0
update inquiryhelper bookingruleshelper apex class,need able accommodate different tax rule different max day example jurisdiction charge stay day stay tax rate etc need accommodate actual tax booking rule record well make update quoting call acceptance criterion update inquiryhelper bookingruleshelper apex class modify createtaxlineitems accept qualification condition tax maximum night field added bookingruleshelper various booking rule loading method ensure calculates reference saved number night compare tax maximum night value booking rule determine use rule create inquiry line item new field new logic existing business process test case fine setting rule automatically apply tax maximum night null new test case added confirming criterion however given current state point heavily tested qa current website listing new current rule ticket applying listing impact homeaway quoting incorrect existing website quoting launch new website documentation story point medium effort medium complexity unknown,1800.0
bug operation remitted checkbox booking rule checked,remitted checkbox tax booking rule checked automatically even state field set az acceptance criterion ensure tax booking rule made via create tax rule quick action listing set remitted true field booking rule listing state az original ticket story point low effort low complexity unknown,1800.0
security update profile change,turn restrict access custom setting profile read custom setting value used across environment point configuration want activate security setting deploy override also investigate impact natterbox functionality email natterbox support emailed last week regarding salesforce critical update revoke read access custom setting using apis user without customize application permission update disable natterboxs cti denies user access custom setting needed natterbox cti component affected many apps salesforce delayed rollout provided new configuration setting mitigate issue allow authorised apps required permission ensure interruption service advise follow step january manual configuration change required winter release current version includes new profile permission setting need set profile applied user use natterbox cti permission need set view custom setting setting available custom profile permission set retain security applied critical update whilst ensuring continued functioning cti allowing user access cti configuration data stored application custom setting data accessible shared apps vice versa screenshot setting custom profile note permission setting configurable default nbvc basicuser permission set set custom permission set easier way apply user please ensure setting enabled checked user profile applying critical update definitely january failure follow instruction result cti unavailable user able make receive call via natterbox app question concern please get touch story point medium effort complexity many unknown,1800.0
bug homeowner support wrong title flip,name caitlin jordan team homeowner support url id severity high user impacted customer total user impacted web browser device technology tripadvisor flipkey description listing hasnt updated week headline calendar part description updated salesforce last time calendar updated site reject booking due date showing available actually already taken way refresh listing trip api,1800.0
ready go prod restyle vf page lightning,vf page available lightning currently styled classic need styled lightning acceptance criterion following vf page styled lightning,1800.0
remove inactive website listing algolia,need remove listing algolia set inactive evolve website distribution business logic shape algolia listingsubscriber process checking see evolve website distribution exists active need change functionality two route shape first route check document distribution name evolve website yes proceed next stop next route shape check active inactive active go currently built path listing object alogolia inactive need hit delete endpoint algolia listing id remove index algolia delete api example loe medium low complexity unknown point,1800.0
new website add infant count messaging endpoint,related work done want website able pas infant count messaging service record sf sample body,1800.0
spike special character headline rejected booking com,noticed property rejected booking com special character field property headline erroring try use hotelname field im sure there special character accepted well ill need investigate,1800.0
boomi process selective photo domain sfdc pe event,wasnt sure board appropriate feel free change went ahead put sprint well put part life behind issue platform event across listing domain created ensure listing back sync one exception photo domain photo domain excluded due longer processing time queue backlog created goal ticket see possible find listing associated photo modification jul later see fire pe sfdc listing photo domain,1800.0
bug reported priority low airbnb calendar syncing listing,name quinlan talaric team homeowner support url id severity low user impacted customer total user impacted web browser chrome device window technology airbnb description airbnb listing calendar syncing correctly listing received booking date showing available airbnb would allow traveler book three screenshots confirmed booking sf airbnb calendar date booking show available thank looking,1800.0
add image user,kyle right setup access aws could create one access aws limit bucket would ideal,1800.0
pricing setting api percent mapped,look like map setup handle percent fee fee pricing setting code handle flat percent fee type source result create fee like,1800.0
availability rule api,doc say int sent string may causing behavior seeing update int see resolve,1800.0
availability rule api response doesnt match request,tracking purpose logged case airbnb aug,1800.0
permission data upload,permission uploads marketing homeaway lead application delete,1800.0
overnight support application,overnight support team need following modification overnight support app ability send email issue resolution case add email function booking case type add related list quick link booking listing add email function external case type add related list quick link case original spreadsheet shared stakeholder,1800.0
preparebookingrulesforinquiry test,testquotingsetupanddataretrieval failing enough insurance booking rule probably related removing cancel time insurance automated creation,1800.0
new quoting include line item help text,would like quoting service include line item help text insurance tax fee website use show additional information related line item quote something like screen shot example line item help text screen shot,1800.0
case record type issue resolution add field,order adequately track reason issue resolution need add following case record type issue resolution within traveler payout section add new field called additional refund amount include tool tip help text additional refund amount booking total see mock story point low effort low complexity unknown,1800.0
case record type booking update type,order adequately track reason booking change need add following case record type booking within change detail information section update type dropdown selection menu map old type value value defined spreadsheet user select one value dropdown story point low effort low complexity unknown,1800.0
owner value prop processing fee removal,part already done bc research finished adding board im sure guy bit planning item meeting address removing processing fee note need split two part one removal setting removal using refund reduction future last booking evolve universe still using processing fee mostly focused first part launch high level longer charging process fee however keeping field historical booking purpose need future clean ticket booking pas threshold last booking processing fee completes change refund modification point launch finish cleaning work refund reduction ticket future work based date need remove code reference processing fee mostly tr cancellationprocess calc calculationhandlers point imagine well various query envionrment may get removed naturally throughout ticket end simple spike come identify everything would also include change point removal method like calculateprocessingfees reference merchantfee processingfee field bt bookingrefundscontroller associated work refund reduction need account null value ticket immediate need work field processing fee transaction ilis owner processing fee merchant fee booking add help text depreciated booking past date inquirylineitemhandler remove calculateprocessingfeeforlineitem remove assigning processing fee updateinquirylineitemfrombooking bookinghandler bookingbeforeinsert need also remove updatebookingfrompaymentmethod booking handler set merchant fee booking qualification process bookingbeforeinsert trigger transactionsuite newbooking transactionsuite modifiedbooking stop calculating recording processing fee basically remove everything associated homeownerprocessingfee processing fee recording processing fee transaction logic method signature update calc calculationhandlers bt refundscontroller confirm change merchant fee processing fee reference already handle null value run test multiple test need updated specifically file potentially refund modification transaction simply removing processing fee assertion reference fine longer charge minimum would expect test change booking inquiry line item transaction suite handler service class like calc calculationhandlers still need process booking processing fee need change test change minus update allowing null value dev work point test run,2700.0
